Puzzle,Answer
"BABY, WAYNE, KIM, JON, POP, RAP, JAZZ, PUNK, OPERA, SAFARI, CHROME, EDGE, JO, MEG, BETH, AMY","['BABY, WAYNE, KIM, JON', 'POP, RAP, JAZZ, PUNK', 'OPERA, SAFARI, CHROME, EDGE', 'JO, MEG, BETH, AMY']"
"BACK, SUPPORT, CHAMPION, ENDORSE, DOWN, RIGHT, UP, LEFT, CON, MINUS, STRIKE, DING, LIAR, SYMBOL, LOOT, BASE","['BACK, SUPPORT, CHAMPION, ENDORSE', 'DOWN, RIGHT, UP, LEFT', 'CON, MINUS, STRIKE, DING', 'LIAR, SYMBOL, LOOT, BASE']"
"BAD, FLY, FRESH, RAD, JAY, GEE, BEE, EX, POLO, TEE, CROP, TANK, SAINT, BOY, BY, CURIOUS","['BAD, FLY, FRESH, RAD', 'JAY, GEE, BEE, EX', 'POLO, TEE, CROP, TANK', 'SAINT, BOY, BY, CURIOUS']"
"BAG, COUNTER, DIP, SPROUT, STUFF, PACK, JAM, CRAM, KEY, ISLAND, BAR, ATOLL, STUDY, KITCHEN, DEN, BEDROOM","['BAG, COUNTER, DIP, SPROUT', 'STUFF, PACK, JAM, CRAM', 'KEY, ISLAND, BAR, ATOLL', 'STUDY, KITCHEN, DEN, BEDROOM']"
"BALL, PIN, ALLEY, LANE, MUG, TEE, PEN, TOTE, WON, TOO, ATE, FOR, EXTRA, COPY, BACKUP, SPARE","['BALL, PIN, ALLEY, LANE', 'MUG, TEE, PEN, TOTE', 'WON, TOO, ATE, FOR', 'EXTRA, COPY, BACKUP, SPARE']"
"BALLOON, BANNER, CONFETTI, GARLAND, NOVEL, CREATIVE, FRESH, ORIGINAL, MODEL, AMBASSADOR, STREAMER, INFLUENCER, BOOK, SECURE, RESERVE, CHARTER","['BALLOON, BANNER, CONFETTI, GARLAND', 'NOVEL, CREATIVE, FRESH, ORIGINAL', 'MODEL, AMBASSADOR, STREAMER, INFLUENCER', 'BOOK, SECURE, RESERVE, CHARTER']"
"BANANA, SICKLE, MOON, CROISSANT, HAMMER, POUND, BANG, SLAM, REGISTER, SUN, HERALD, CHRONICLE, FLOWER, FEATHER, STAR, MUSHROOM","['BANANA, SICKLE, MOON, CROISSANT', 'HAMMER, POUND, BANG, SLAM', 'REGISTER, SUN, HERALD, CHRONICLE', 'FLOWER, FEATHER, STAR, MUSHROOM']"
"BARBIE, BUSH, MATE, CRIKEY, GENIUS, FACULTY, GIFT, FLAIR, OPPENHEIMER, HAWKING, EINSTEIN, FEYNMAN, MATCH, WEST, SELLING, MOOT","['BARBIE, BUSH, MATE, CRIKEY', 'GENIUS, FACULTY, GIFT, FLAIR', 'OPPENHEIMER, HAWKING, EINSTEIN, FEYNMAN', 'MATCH, WEST, SELLING, MOOT']"
"BARE, NEW, MOUSSE, DEAR, CARPET, MEAT, DELICIOUS, TAPE, DESSERT, SIDE, STARTER, MAIN, RAW, DELICATE, SENSITIVE, TENDER","['BARE, NEW, MOUSSE, DEAR', 'CARPET, MEAT, DELICIOUS, TAPE', 'DESSERT, SIDE, STARTER, MAIN', 'RAW, DELICATE, SENSITIVE, TENDER']"
"BASH, PAN, BLAST, SLAM, COLOR, BLOWOUT, CUT, TRIM, SACK, RECEPTION, YARD, ATTEMPT, BAG, LAND, SCORE, SNAG","['BASH, PAN, BLAST, SLAM', 'COLOR, BLOWOUT, CUT, TRIM', 'SACK, RECEPTION, YARD, ATTEMPT', 'BAG, LAND, SCORE, SNAG']"
"BAT, TOMBSTONE, PUMPKIN, COBWEB, 2001, 22, 20,000, 451, BELL, 7, CHERRY, BAR, 24, BONES, FIREFLY, WEEDS","['BAT, TOMBSTONE, PUMPKIN, COBWEB', '2001, 22, 20,000, 451', 'BELL, 7, CHERRY, BAR', '24, BONES, FIREFLY, WEEDS']"
"BEACH BOY, BEATLE, BYRD, MONKEE, TWIST, MASHED POTATO, DOUGIE, MACARENA, ROLLING STONE, WIRED, FORTUNE, VOGUE, CHAIN, WEBSITE, SAUSAGE, GOLF COURSE","['BEACH BOY, BEATLE, BYRD, MONKEE', 'TWIST, MASHED POTATO, DOUGIE, MACARENA', 'ROLLING STONE, WIRED, FORTUNE, VOGUE', 'CHAIN, WEBSITE, SAUSAGE, GOLF COURSE']"
"BEAN, MELON, NOODLE, NUT, PRINCESS, BAGUETTE, EMERALD, RADIANT, CANDY, PUMPKIN, COSTUME, DECORATIONS, LICORICE, FENNEL, TARRAGON, ANISE","['BEAN, MELON, NOODLE, NUT', 'PRINCESS, BAGUETTE, EMERALD, RADIANT', 'CANDY, PUMPKIN, COSTUME, DECORATIONS', 'LICORICE, FENNEL, TARRAGON, ANISE']"
"BEAR, HARBOR, MAINTAIN, HOLD, CHAIR, BED, TABLE, COUCH, TINDER, GOLDILOCKS, LEADERSHIP, IRONIC, SWEET, DRY, BALANCED, FULL","['BEAR, HARBOR, MAINTAIN, HOLD', 'CHAIR, BED, TABLE, COUCH', 'TINDER, GOLDILOCKS, LEADERSHIP, IRONIC', 'SWEET, DRY, BALANCED, FULL']"
"BEAR, YIELD, GENERATE, PRODUCE, FOX, SNACK, TEN, BABE, DETOUR, TANGENT, DIGRESSION, ASIDE, RADIUS, REVERSE, RIGHT, ARE","['BEAR, YIELD, GENERATE, PRODUCE', 'FOX, SNACK, TEN, BABE', 'DETOUR, TANGENT, DIGRESSION, ASIDE', 'RADIUS, REVERSE, RIGHT, ARE']"
"BED, PATCH, PLOT, PARCEL, CHIP, ROCKY, STITCH, SCRATCHY, ROUGH, UNEVEN, RUGGED, BUMPY, PARALLEL, SOUTH, AMUSEMENT, NATIONAL","['BED, PATCH, PLOT, PARCEL', 'CHIP, ROCKY, STITCH, SCRATCHY', 'ROUGH, UNEVEN, RUGGED, BUMPY', 'PARALLEL, SOUTH, AMUSEMENT, NATIONAL']"
"BEEP BEEP, SKRRT, PURR, VROOM, KING KONG, KOKO, BUBBLES, GEORGE, YAHOO, DING-DONG, DODO, YO-YO, WHOOP, HAR-HAR, HOOT, YUK","['BEEP BEEP, SKRRT, PURR, VROOM', 'KING KONG, KOKO, BUBBLES, GEORGE', 'YAHOO, DING-DONG, DODO, YO-YO', 'WHOOP, HAR-HAR, HOOT, YUK']"
"BEETLE, FOCUS, VOLT, CIVIC, COW, BEANS, JACK, GIANT, LEVEL, PEP, TENET, REFER, JUICE, ENERGY, ZIP, LIFE","['BEETLE, FOCUS, VOLT, CIVIC', 'COW, BEANS, JACK, GIANT', 'LEVEL, PEP, TENET, REFER', 'JUICE, ENERGY, ZIP, LIFE']"
"BERET, FEZ, BOWLER, FEDORA, POT, ASS, RABBIT, KNIFE, HEART, KIDNEY, LIVER, LUNG, SPINE, JACKET, COVER, PAGE","['BERET, FEZ, BOWLER, FEDORA', 'POT, ASS, RABBIT, KNIFE', 'HEART, KIDNEY, LIVER, LUNG', 'SPINE, JACKET, COVER, PAGE']"
"BET, USA, E, HALLMARK, ALFA, TANGO, BRAVO, ROMEO, MA, LA, OK, HI, POM, YO, BOO, TOM","['BET, USA, E, HALLMARK', 'ALFA, TANGO, BRAVO, ROMEO', 'MA, LA, OK, HI', 'POM, YO, BOO, TOM']"
"BINGO, ROULETTE, LOTTERY, WAR, ROW, FIGHT, TIFF, SCRAP, CORRECT, AMEND, FIX, REVISE, COMPUTER, BLUE, POTATO, POKER","['BINGO, ROULETTE, LOTTERY, WAR', 'ROW, FIGHT, TIFF, SCRAP', 'CORRECT, AMEND, FIX, REVISE', 'COMPUTER, BLUE, POTATO, POKER']"
"BIRTHDAY, COCKTAIL, SURPRISE, DINNER, NOVA, NATURE, MASTERPIECE, FRONTLINE, CHAMPAGNE, REUNION, NICE, ANGERS, SUPER, EXTRA, HYPER, OVER","['BIRTHDAY, COCKTAIL, SURPRISE, DINNER', 'NOVA, NATURE, MASTERPIECE, FRONTLINE', 'CHAMPAGNE, REUNION, NICE, ANGERS', 'SUPER, EXTRA, HYPER, OVER']"
"BIRTHDAY, WEDDING, ANNIVERSARY, SHOWER, BATH, SANDWICH, DERBY, READING, BARS, RECEPTION, SERVICE, SIGNAL, ROCK, SOAP, COMIC, MET","['BIRTHDAY, WEDDING, ANNIVERSARY, SHOWER', 'BATH, SANDWICH, DERBY, READING', 'BARS, RECEPTION, SERVICE, SIGNAL', 'ROCK, SOAP, COMIC, MET']"
"BLUE, AMERICAN, SWISS, JACK, SPACE, DUTCH, JEOPARDY, DATE, CUBAN, KITTEN, WEDGE, STILETTO, POLE, HURDLE, HAMMER, JAVELIN","['BLUE, AMERICAN, SWISS, JACK', 'SPACE, DUTCH, JEOPARDY, DATE', 'CUBAN, KITTEN, WEDGE, STILETTO', 'POLE, HURDLE, HAMMER, JAVELIN']"
"BMW, SUBARU, JAGUAR, HONDA, AUTO, POST, SUB, SEMI, FORD, GRANT, WILSON, LINCOLN, SCOUT, COACH, GM, PLAYER","['BMW, SUBARU, JAGUAR, HONDA', 'AUTO, POST, SUB, SEMI', 'FORD, GRANT, WILSON, LINCOLN', 'SCOUT, COACH, GM, PLAYER']"
"BOB, CROP, FADE, SHAG, SWAY, PULL, WEIGHT, CLOUT, SACK, ROB, LOOT, RAID, SAFETY, PUSH, BOBBY, HAIR","['BOB, CROP, FADE, SHAG', 'SWAY, PULL, WEIGHT, CLOUT', 'SACK, ROB, LOOT, RAID', 'SAFETY, PUSH, BOBBY, HAIR']"
"BOND, Q, M, MONEYPENNY, MAD, O, FORTUNE, NATURE, POWER, EURO, K, BUBBLEGUM, YEN, LONG, PINE, DESIRE","['BOND, Q, M, MONEYPENNY', 'MAD, O, FORTUNE, NATURE', 'POWER, EURO, K, BUBBLEGUM', 'YEN, LONG, PINE, DESIRE']"
"BOND, RUSH, LEAF, MINE, WING, PARTY, CAMP, SIDE, HUNT, SEARCH, CHASE, QUEST, KISSES, ALWAYS, YOURS, LOVE","['BOND, RUSH, LEAF, MINE', 'WING, PARTY, CAMP, SIDE', 'HUNT, SEARCH, CHASE, QUEST', 'KISSES, ALWAYS, YOURS, LOVE']"
"BOO-BOO, GOOF, FLUB, GAFFE, BABE, MICKEY, YOGI, LOU, DAISY, JASMINE, PETUNIA, POPPY, BUZZ, DANCE, STING, POLLINATE","['BOO-BOO, GOOF, FLUB, GAFFE', 'BABE, MICKEY, YOGI, LOU', 'DAISY, JASMINE, PETUNIA, POPPY', 'BUZZ, DANCE, STING, POLLINATE']"
"BOOM, DOLLY, TRIPOD, LENS, KICK, BALL, BLAST, RIOT, SHORT, SPARE, LIGHT, THIN, ROOM, CLUE, GRIP, LIFE","['BOOM, DOLLY, TRIPOD, LENS', 'KICK, BALL, BLAST, RIOT', 'SHORT, SPARE, LIGHT, THIN', 'ROOM, CLUE, GRIP, LIFE']"
"BOW, TARGET, ARROW, QUIVER, BRIDGE, SPIT, GIN, WAR, HEART, ANCHOR, DRAGON, ROSE, CLOCK, DECK, BELT, SLUG","['BOW, TARGET, ARROW, QUIVER', 'BRIDGE, SPIT, GIN, WAR', 'HEART, ANCHOR, DRAGON, ROSE', 'CLOCK, DECK, BELT, SLUG']"
"BOWIE, BUTTER, BUTTERFLY, BUTCHER, FULL, KING, QUEEN, TWIN, LEAD, MERCURY, GOLD, TIN, HEAD, THRONE, JOHN, CAN","['BOWIE, BUTTER, BUTTERFLY, BUTCHER', 'FULL, KING, QUEEN, TWIN', 'LEAD, MERCURY, GOLD, TIN', 'HEAD, THRONE, JOHN, CAN']"
"BREAD, TOMATO, BACON, LETTUCE, WALK, HIT, DOUBLE, RUN, JAM, BLOCK, STOP, CLOG, WONDER, TALK, WORLD, FRY","['BREAD, TOMATO, BACON, LETTUCE', 'WALK, HIT, DOUBLE, RUN', 'JAM, BLOCK, STOP, CLOG', 'WONDER, TALK, WORLD, FRY']"
"BREAKOUT, ASTEROIDS, PONG, FROGGER, SALSA, SWING, HUSTLE, TANGO, SAVAGE, CENT, PAC, CHAINZ, PINCH, SWIPE, TAP, SPREAD","['BREAKOUT, ASTEROIDS, PONG, FROGGER', 'SALSA, SWING, HUSTLE, TANGO', 'SAVAGE, CENT, PAC, CHAINZ', 'PINCH, SWIPE, TAP, SPREAD']"
"BRIDGE, CRUNCH, SQUAT, DIP, COWBOY, BOUNTY, DUEL, SALOON, CARTER, KING, TUTU, GORE, QUEEN, HONEY, BUSY, SPELLING","['BRIDGE, CRUNCH, SQUAT, DIP', 'COWBOY, BOUNTY, DUEL, SALOON', 'CARTER, KING, TUTU, GORE', 'QUEEN, HONEY, BUSY, SPELLING']"
"BROADWAY, PARK, FIFTH, MADISON, JIFFY, SECOND, FLASH, WINK, FIRST, CHIEF, PRINCIPAL, MAIN, AMATEUR, HAPPY, RUSH, ELEVENTH","['BROADWAY, PARK, FIFTH, MADISON', 'JIFFY, SECOND, FLASH, WINK', 'FIRST, CHIEF, PRINCIPAL, MAIN', 'AMATEUR, HAPPY, RUSH, ELEVENTH']"
"BROIL, WINGS, SPROUTS, CHEESESTEAK, PAINT, DROP CLOTH, ROLLER, TAPE, HAT TRICK, TRIPLE CROWN, TRIFECTA, THREEPEAT, HOME RUN, SOAP BOX, KENTUCKY, DEMOLITION","['BROIL, WINGS, SPROUTS, CHEESESTEAK', 'PAINT, DROP CLOTH, ROLLER, TAPE', 'HAT TRICK, TRIPLE CROWN, TRIFECTA, THREEPEAT', 'HOME RUN, SOAP BOX, KENTUCKY, DEMOLITION']"
"BROTHER, LORD, SHEESH, PLEASE, DELI, NIECE, SOUL, ROAM, BISHOP, CARDINAL, PRIOR, PASTOR, QUEEN, HEART, PRINCE, MADONNA","['BROTHER, LORD, SHEESH, PLEASE', 'DELI, NIECE, SOUL, ROAM', 'BISHOP, CARDINAL, PRIOR, PASTOR', 'QUEEN, HEART, PRINCE, MADONNA']"
"BUCK, BULL, JACK, BOAR, FUNK, COUNTRY, SOUL, BLUES, BOUQUET, SCENT, FRAGRANCE, AROMA, ROCK, SHOOT, SCISSORS, PAPER","['BUCK, BULL, JACK, BOAR', 'FUNK, COUNTRY, SOUL, BLUES', 'BOUQUET, SCENT, FRAGRANCE, AROMA', 'ROCK, SHOOT, SCISSORS, PAPER']"
"BUCKLE, LOOP, HOLE, STRAP, HOLI, HOLY, HOLEY, WHOLLY, LEAVE, BREAK, HOLIDAY, RECESS, DRIFT, SANDAL, HOLLY, DOG","['BUCKLE, LOOP, HOLE, STRAP', 'HOLI, HOLY, HOLEY, WHOLLY', 'LEAVE, BREAK, HOLIDAY, RECESS', 'DRIFT, SANDAL, HOLLY, DOG']"
"BUD, SIERRA, NATTY, STELLA, RANGE, REACH, SCOPE, EXTENT, MATCH, MATE, COMPLEMENT, PARTNER, PHONE, DIRT, PAL, CHECK","['BUD, SIERRA, NATTY, STELLA', 'RANGE, REACH, SCOPE, EXTENT', 'MATCH, MATE, COMPLEMENT, PARTNER', 'PHONE, DIRT, PAL, CHECK']"
"BUG, HOUND, BADGER, NAG, FORK, PART, SPLIT, DIVIDE, SPOON, SCREEN, FOX, LINING, BOWL, FIELD, DOME, ARENA","['BUG, HOUND, BADGER, NAG', 'FORK, PART, SPLIT, DIVIDE', 'SPOON, SCREEN, FOX, LINING', 'BOWL, FIELD, DOME, ARENA']"
"BUGS, HOUNDS, BADGERS, NAGS, FISH, HARD KNOCKS, ROCK, THOUGHT, SUPER, COMPUTER, PIANO, TESTS, COMPANY, CATS, CABARET, ANNIE","['BUGS, HOUNDS, BADGERS, NAGS', 'FISH, HARD KNOCKS, ROCK, THOUGHT', 'SUPER, COMPUTER, PIANO, TESTS', 'COMPANY, CATS, CABARET, ANNIE']"
"BULB, BEER, YEAR, RAIL, DRILL, GRIME, CRUNK, BOUNCE, FLASH, SPARKLE, GLITTER, GLEAM, FISH, TRAP, HUNT, FORAGE","['BULB, BEER, YEAR, RAIL', 'DRILL, GRIME, CRUNK, BOUNCE', 'FLASH, SPARKLE, GLITTER, GLEAM', 'FISH, TRAP, HUNT, FORAGE']"
"BULL, ROT, NONSENSE, HOGWASH, WHITE, LAKE, SEAL, DANE, LEAD, STEER, DIRECT, GUIDE, FISH, MOOSE, DEER, BUFFALO","['BULL, ROT, NONSENSE, HOGWASH', 'WHITE, LAKE, SEAL, DANE', 'LEAD, STEER, DIRECT, GUIDE', 'FISH, MOOSE, DEER, BUFFALO']"
"BUN, MUSTARD, SAUERKRAUT, BRAT, FOLK, ROCK, COUNTRY, BLUES, COCONUT, SOULMATE, UPDO, WALLET, WARRIOR, TREE, CHAIR, MOUNTAIN","['BUN, MUSTARD, SAUERKRAUT, BRAT', 'FOLK, ROCK, COUNTRY, BLUES', 'COCONUT, SOULMATE, UPDO, WALLET', 'WARRIOR, TREE, CHAIR, MOUNTAIN']"
"BUSINESS, COACH, PREMIUM, FIRST, VET, REVIEW, SCREEN, CHECK, SHRINK, CONTRACT, REDUCE, LESSEN, PILOT, SPECIAL, PREMIERE, FINALE","['BUSINESS, COACH, PREMIUM, FIRST', 'VET, REVIEW, SCREEN, CHECK', 'SHRINK, CONTRACT, REDUCE, LESSEN', 'PILOT, SPECIAL, PREMIERE, FINALE']"
"BUTTON, SNAP, BUCKLE, ZIP, PRESS, PLANK, CURL, LUNGE, JACK, SQUAT, NOTHING, NADA, PLANET, OBVIOUS, CRUNCH, KANGAROO","['BUTTON, SNAP, BUCKLE, ZIP', 'PRESS, PLANK, CURL, LUNGE', 'JACK, SQUAT, NOTHING, NADA', 'PLANET, OBVIOUS, CRUNCH, KANGAROO']"
"BUZZ, MEOW, OINK, CLUCK, TEA, COFFEE, COCOA, CHAI, DIRT, DISH, SKINNY, SCOOP, BARK, ROOT, TRUNK, BRANCH","['BUZZ, MEOW, OINK, CLUCK', 'TEA, COFFEE, COCOA, CHAI', 'DIRT, DISH, SKINNY, SCOOP', 'BARK, ROOT, TRUNK, BRANCH']"
"BUZZ, RUSH, KICK, THRILL, DART, AXE, RING, HORSESHOE, SCRAMBLE, BOIL, FRY, POACH, GIFT, SHRINK, BUBBLE, BODY","['BUZZ, RUSH, KICK, THRILL', 'DART, AXE, RING, HORSESHOE', 'SCRAMBLE, BOIL, FRY, POACH', 'GIFT, SHRINK, BUBBLE, BODY']"
"BYE, BI, BUY, BY, TRI, AB, QUAD, PEC, TRAP, POP, DUB, EMO, HI, OFF, MED, LO","['BYE, BI, BUY, BY', 'TRI, AB, QUAD, PEC', 'TRAP, POP, DUB, EMO', 'HI, OFF, MED, LO']"
"CALF, KIT, FAWN, CUB, KID, RIB, TEASE, RAZZ, THIGH, TENDER, BREAST, WING, SHOULDER, MUSCLE, JOSTLE, BARGE","['CALF, KIT, FAWN, CUB', 'KID, RIB, TEASE, RAZZ', 'THIGH, TENDER, BREAST, WING', 'SHOULDER, MUSCLE, JOSTLE, BARGE']"
"CAN, BOOTY, REAR, BUM, CRADLE, MEOW, PAJAMAS, EYE, TOWEL, SLIPPERS, ROBE, WASHCLOTH, BABY, MOTHER, SPOIL, PAMPER","['CAN, BOOTY, REAR, BUM', 'CRADLE, MEOW, PAJAMAS, EYE', 'TOWEL, SLIPPERS, ROBE, WASHCLOTH', 'BABY, MOTHER, SPOIL, PAMPER']"
"CAN, MAY, MIGHT, COULD, ACTION, CUT, CAMERA, LIGHTS, LEAD, PRIME, TOP, HEAD, BUTCHER, WAX, TOILET, SCRAP","['CAN, MAY, MIGHT, COULD', 'ACTION, CUT, CAMERA, LIGHTS', 'LEAD, PRIME, TOP, HEAD', 'BUTCHER, WAX, TOILET, SCRAP']"
"CANE, BAR, APPLE, CORN, ACCIDENTAL, STAFF, NOTE, REST, SPIDER, BAT, PUMPKIN, WITCH, BLOCK, BAN, FORBID, DENY","['CANE, BAR, APPLE, CORN', 'ACCIDENTAL, STAFF, NOTE, REST', 'SPIDER, BAT, PUMPKIN, WITCH', 'BLOCK, BAN, FORBID, DENY']"
"CANOPY, MURPHY, BUNK, TRUNDLE, MARX, WRIGHT, JONAS, WARNER, PASSPORT, PILOT, ACCORD, CIVIC, LINK, SONIC, CRASH, MARIO","['CANOPY, MURPHY, BUNK, TRUNDLE', 'MARX, WRIGHT, JONAS, WARNER', 'PASSPORT, PILOT, ACCORD, CIVIC', 'LINK, SONIC, CRASH, MARIO']"
"CARGO, HAMMER, STIRRUP, CAPRI, CLAW, HORN, HOOF, NAIL, BOULDER, ANVIL, COYOTE, TNT, CALIFORNIA, EGG, DRUM, HONOR","['CARGO, HAMMER, STIRRUP, CAPRI', 'CLAW, HORN, HOOF, NAIL', 'BOULDER, ANVIL, COYOTE, TNT', 'CALIFORNIA, EGG, DRUM, HONOR']"
"CARPENTER, WOO, BAY, SCOTT, UNDERWEAR, CAPE, MASK, TIGHTS, PUPPET, TOOL, PAWN, INSTRUMENT, MAGIC, CHARM, SPELL, HEX","['CARPENTER, WOO, BAY, SCOTT', 'UNDERWEAR, CAPE, MASK, TIGHTS', 'PUPPET, TOOL, PAWN, INSTRUMENT', 'MAGIC, CHARM, SPELL, HEX']"
"CAT, POP, GRINCH, TURTLE, CRANK, WIND, REEL, TURN, BLOW, DRAFT, PUFF, GUST, LION, CRAB, RAM, BULL","['CAT, POP, GRINCH, TURTLE', 'CRANK, WIND, REEL, TURN', 'BLOW, DRAFT, PUFF, GUST', 'LION, CRAB, RAM, BULL']"
"CATER, THROW, PLAN, HOST, BOWL, CRATE, BED, COLLAR, STAR, CARET, HASH, BRACE, TRACE, SHRED, TOUCH, HINT","['CATER, THROW, PLAN, HOST', 'BOWL, CRATE, BED, COLLAR', 'STAR, CARET, HASH, BRACE', 'TRACE, SHRED, TOUCH, HINT']"
"CATFISH, BULLDOG, HORSEFLY, TURTLEDOVE, FISHBOWL, WEREWOLF, CATEGORIES, CHARADES, HAIRPIN, SWITCHBACK, DOGLEG, ZAG, TRAMPOLINE, MOUSETRAP, MATTRESS, CLOCK","['CATFISH, BULLDOG, HORSEFLY, TURTLEDOVE', 'FISHBOWL, WEREWOLF, CATEGORIES, CHARADES', 'HAIRPIN, SWITCHBACK, DOGLEG, ZAG', 'TRAMPOLINE, MOUSETRAP, MATTRESS, CLOCK']"
"CELL, PROTEIN, ATOM, MOLECULE, SAW, JUG, SPOONS, WASHBOARD, BOTTLE, MOBILE, RATTLE, CRIB, DOG, PHONE, FREEZE, PRICE","['CELL, PROTEIN, ATOM, MOLECULE', 'SAW, JUG, SPOONS, WASHBOARD', 'BOTTLE, MOBILE, RATTLE, CRIB', 'DOG, PHONE, FREEZE, PRICE']"
"CHAMP, BEST, GOAT, LEGEND, I, MUSSEL, HARE, NAVAL, SHIP, CRAFT, BARGE, VESSEL, ON, ABOUT, TOWARD, CONCERNING","['CHAMP, BEST, GOAT, LEGEND', 'I, MUSSEL, HARE, NAVAL', 'SHIP, CRAFT, BARGE, VESSEL', 'ON, ABOUT, TOWARD, CONCERNING']"
"CHARGE, FINE, LEVY, ASSESS, IN, POPULAR, HOT, BIG, ICON, CHARACTER, SYMBOL, GLYPH, HANDSOME, HIPPO, LEGEND, LIPID","['CHARGE, FINE, LEVY, ASSESS', 'IN, POPULAR, HOT, BIG', 'ICON, CHARACTER, SYMBOL, GLYPH', 'HANDSOME, HIPPO, LEGEND, LIPID']"
"CHARM, SPELL, CURSE, HEX, POKER, LOG, GRATE, FLUE, DICE, CHIPS, CARDS, SLOTS, MELT, SLICE, SHRED, CRUMBLE","['CHARM, SPELL, CURSE, HEX', 'POKER, LOG, GRATE, FLUE', 'DICE, CHIPS, CARDS, SLOTS', 'MELT, SLICE, SHRED, CRUMBLE']"
"CHEESE, MUSTARD, DECK, CORD, CAPER, EXPLOIT, ANTIC, STUNT, SWEET, DILL, SOUR, KOSHER, BLUE, SPICY, ADULT, SUGGESTIVE","['CHEESE, MUSTARD, DECK, CORD', 'CAPER, EXPLOIT, ANTIC, STUNT', 'SWEET, DILL, SOUR, KOSHER', 'BLUE, SPICY, ADULT, SUGGESTIVE']"
"CHESS, GO, CHECKERS, BACKGAMMON, KING, TWIN, QUEEN, FULL, FIRE TRUCK, RUBY, CHERRY, STOP SIGN, LOCKSMITH, PIANO, FLORIDA, CRYPTOGRAPHY","['CHESS, GO, CHECKERS, BACKGAMMON', 'KING, TWIN, QUEEN, FULL', 'FIRE TRUCK, RUBY, CHERRY, STOP SIGN', 'LOCKSMITH, PIANO, FLORIDA, CRYPTOGRAPHY']"
